Placement,In-game Name,Full Name,Total Earnings,Game,Earnings from game,Percent of total,Team Name,Age during most earnings,Country of Origin
1,N0tail,Johan Sundstein,7183837.80,Dota 2,7172111.58,99.84%,OG,19,Denmark
2,JerAx,Jesse Vainikka,6475948.78,Dota 2,6475400.02,99.99%,OG,20,Finland
3,ana,Anathan Pham,6004411.96,Dota 2,6004411.96,100.00%,OG,18,Australia
4,Ceb,Sébastien Debs,5773909.40,Dota 2,5773909.40,100.00%,OG,26,France
5,Topson,Topias Taavitsainen,5690417.57,Dota 2,5690417.57,100.00%,OG,20,Finland
6,KuroKy,Kuro Takhasomi,5221264.15,Dota 2,5219540.81,99.97%,Team Liquid,24,Germany
7,Miracle-,Amer Al-Barkawi,4824201.68,Dota 2,4824201.68,100.00%,Team Liquid,19,Jordan
8,MinD_ContRoL,Ivan Ivanov,4605276.16,Dota 2,4605276.16,100.00%,Team Liquid,22,Bulgaria
9,Matumbaman,Lasse Urpalainen,4520649.04,Dota 2,4520649.04,100.00%,Team Liquid,21,Finland
10,GH,Maroun Merhej,4219570.69,Dota 2,4219570.69,100.00%,Team Liquid,21,Lebanon
11,Miposhka,Yaroslav Naidenov,3945633.01,Dota 2,3945633.01,100.00%,Team Spirit,23,Russia
12,SumaiL,Sumail Hassan,3827164.01,Dota 2,3827164.01,100.00%,Evil Geniuses,16,Pakistan
13,TORONTOTOKYO,Alexander Khertek,3715027.22,Dota 2,3715027.22,100.00%,Team Spirit,23,Russia
14,Collapse,Magomed Khalilov,3713542.59,Dota 2,3713542.59,100.00%,Team Spirit,19,Russia
15,Yatoro,Ilya Mulyarchuk,3712234.47,Dota 2,3712234.47,100.00%,Team Spirit,17,Ukraine
16,Mira,Miroslaw Kolpakov,3703691.05,Dota 2,3703691.05,100.00%,Team Spirit,21,Ukraine
17,Puppey,Clement Ivanov,3616674.23,Dota 2,3615604.17,99.97%,Team Secret,30,Estonia
18,Ame,"Wang, Chunyu",3426991.07,Dota 2,3426991.07,100.00%,Paris Saint-Germain Esports,23,China
19,y`,Zhang Yiping,3280074.08,Dota 2,3280074.08,100.00%,Wings Gaming,16,China
20,Zai,Ludwig Wåhlberg,3279509.02,Dota 2,3259414.31,99.39%,Team Secret,23,Sweden
21,Faith_bian,Zhang Ruida,3261513.66,Dota 2,3261513.66,100.00%,Wings Gaming,16,China
22,Bugha,Kyle Giersdorf,3175211.72,Fortnite,3162545.05,99.60%,Sentinels,18,America
23,Somnus丶M,Lu Yao,3143337.59,Dota 2,3143337.59,100.00%,Paris Saint-Germain Esports,22,China
24,UNiVeRsE,Saahil Arora,3057237.67,Dota 2,3057237.67,100.00%,Evil Geniuses,25,America
25,fy,"Xu, Linsen",3042472.38,Dota 2,3042472.38,100.00%,Paris Saint-Germain Esports,24,China
26,ppd,Peter Dager,3029331.36,Dota 2,3001619.62,99.09%,Evil Geniuses,23,America
27,s4,Gustav Magnusson,2735953.74,Dota 2,2730894.97,99.82%,Evil Geniuses,26,Sweden
28,Fly,Tal Aizik,2612050.81,Dota 2,2594635.91,99.33%,Evil Geniuses,25,Israel
29,Fear,Clinton Loomis,2564313.19,Dota 2,2562957.34,99.95%,Evil Geniuses,26,America
30,Arteezy,Artour Babaev,2474133.21,Dota 2,2474133.21,100.00%,Evil Geniuses,22,Canada
