Placement,Team Name,Total Earnings,Number of tournaments
1,Team Liquid,38639374.58,2154
2,OG,35717823.59,126
3,Evil Geniuses,25599757.09,907
4,Team Spirit,19937522.11,164
5,Virtus.pro,18206325.79,570
6,Natus Vincere,17833869.22,583
7,Fnatic,17516385.03,994
8,Team Secret,16278297.83,314
9,Paris Saint-Germain Esports,15697632.34,96
10,Vici Gaming,15231826.48,297
11,Invictus Gaming,14674441.70,562
12,Newbee,14226475.49,232
13,T1,12006131.14,417
14,LGD Gaming,11972357.64,158
15,FaZe Clan,11110809.17,478
16,Cloud9,11060978.49,852
17,Wings Gaming,9745472.22,27
18,G2 Esports,9310207.81,540
19,Astralis,9288418.81,123
20,Team SoloMid,8964787.85,759
21,OpTic Gaming,8063439.30,306
22,Gen.G Esports,7360193.91,120
23,Team Envy,7290249.09,418
24,Royal Never Give Up,7049891.12,113
25,Ninjas in Pyjamas,6890817.47,383
26,Alliance,6799493.21,359
27,SK Gaming,6723497.06,678
28,NRG Esports,6038366.32,460
29,Nova eSports,5923760.60,61
30,mousesports,5921393.60,1076
31,MVP,5728989.80,487
32,Gambit Esports,5721207.29,250
33,Qiao Gu Reapers,5693661.09,28
34,Samsung,5308289.80,352
35,Counter Logic Gaming,5177709.58,469
36,EDward Gaming,5089348.58,120
37,Chaos Esports Club,4972589.35,91
38,Lazarus,4957337.29,279
39,eStar Gaming,4882210.63,67
40,compLexity Gaming,4873472.93,662
41,Vitality,4781157.58,313
42,TnC Gaming,4566162.67,65
43,Team Dignitas,4410984.88,666
44,100 Thieves,4260978.24,209
45,EHOME,4156734.75,110
46,Sentinels,4039675.68,95
47,Team Empire,3868913.61,451
48,Luminosity Gaming,3808639.48,329
49,Hero JiuJing,3801990.59,12
50,CDEC Gaming,3734262.87,55
51,San Francisco Shock,3435000.00,10
52,eUnited,3406588.69,215
53,Cooler Esport,3328191.97,42
54,Splyce,3309342.51,412
55,Atlanta Faze,3133000.00,24
56,KT Rolster,3036581.55,225
57,Four Angry Men,2973018.73,45
58,World Elite,2885567.17,231
59,All Gamers,2838722.20,45
60,Jin Air Green Wings,2769864.08,441
61,Spacestation Gaming,2760099.68,290
62,ENCE eSports,2734141.39,255
63,Shanghai Dragons,2615000.00,11
64,Ghost Gaming,2556490.70,215
65,Turnso Gaming,2535695.42,6
66,Flash Wolves,2462023.54,224
67,MIBR,2436294.05,129
68,Mineski,2434750.99,82
69,Tempo Storm,2422842.28,461
70,Heroic,2420063.51,99
71,Dallas Empire,2419250.00,17
72,DAMWON Gaming,2417028.81,41
73,Rogue,2396783.96,236
74,FunPlus Phoenix,2364991.95,46
75,Susquehanna Soniqs,2055698.11,66
76,COGnitive Gaming,2026124.51,165
77,BIG,1897931.87,268
78,Team DK,1873618.91,70
79,Millenium,1833187.18,566
80,OMG,1822627.68,68
81,Top Esports,1814400.47,29
82,Renegades,1803848.03,264
83,HellRaisers,1784629.42,149
84,FURIA Esports,1772034.13,157
85,Echo Fox,1748354.49,343
86,TyLoo,1747355.34,177
87,Epsilon eSports,1746427.68,251
88,London Spitfire,1731161.50,19
89,Afreeca Freecs,1679560.10,416
90,New York Excelsior,1622618.50,21
91,NewHappy,1612922.40,15
92,Buriram United Esports,1551053.21,42
93,ahq e-Sports Club,1545583.50,90
94,Toronto Ultra,1541750.01,27
95,Taipei Assassins,1529565.39,24
96,Team Aster,1522985.04,44
97,Infamous,1511146.01,68
98,Rise Nation,1505446.93,103
99,CJ Entus,1502458.47,185
100,EVOS Esports,1495554.38,65
101,Team Reciprocity,1495055.86,84
102,ALTERNATE aTTaX,1491762.52,420
103,Rogue Warriors,1480463.76,13
104,ROX Gaming,1456124.57,82
105,Team BDS,1443334.08,80
106,LeStream Esport,1439142.77,89
107,Method,1414370.55,140
108,Elevate,1395769.12,176
109,Atlanta Reign,1391098.00,14
110,Misfits,1381479.19,191
111,North,1322619.32,88
112,Incredible Miracle,1312868.72,166
113,Keen Gaming,1310996.79,45
114,Philadelphia Fusion,1306278.50,18
115,paiN Gaming,1296877.07,144
116,PENTA Sports,1263812.30,282
117,Russian National Team,1260218.44,26
118,Denial Esports,1242661.24,179
119,MAD Lions,1223253.48,46
120,REJECT,1207874.86,25
121,9z Team,1181349.50,52
122,Solary,1177668.26,237
123,Immortals,1176665.15,125
124,Seoul Dynasty,1165000.00,8
125,Quincy Crew,1135822.00,19
126,Pittsburgh Knights,1133829.50,100
127,Team Kinguin,1125758.47,128
128,StarTale,1117702.92,159
129,GamersOrigin,1086908.71,220
130,Zenith E-Sports,1077370.75,8
131,AGO Esports,1066290.92,160
132,JD Gaming,1065649.88,20
133,DragonX,1064732.98,32
134,Talon Esports,1042882.44,39
135,Team LDLC.com,1031009.01,202
136,Red Bull eSports,1019412.46,27
137,Vega Squadron,1015271.37,162
138,Yoshimoto,1006400.00,3
139,Kungarna,997364.89,30
140,Meet Your Makers,997330.04,270
141,Black Dragons e-Sports,992504.09,68
142,beastcoast,991076.54,96
143,forZe,988633.01,128
144,FlipSid3 Tactics,974883.58,338
145,Los Angeles Gladiators,964605.19,16
146,Vancouver Titans,950000.00,4
147,Multi Circle Gaming,927134.10,13
148,DetonatioN,911860.60,85
149,Rex Regum Qeon,876340.74,51
150,Infantry Clan,865951.40,21
151,Titan eSports,860876.11,75
152,AVANGAR,859969.01,71
153,Ballistix,855000.00,10
154,OGN Entus,852185.68,34
155,Str8 Rippin,845040.45,90
156,INTZ eSports,841503.95,129
157,Team KaLiBeR,821775.52,49
158,mTw,816357.42,281
159,Hong Kong Attitude,816253.55,54
160,Panda Global,815750.49,559
161,Tricked eSports,811051.83,130
162,Minnesota RØKKR,808529.17,70
163,SCARZ,803798.84,38
164,New York Subliners,801809.99,73
165,Bigetron eSports,800234.71,26
166,Team Allegiance,798580.70,64
167,Team expert,791174.66,275
168,Giants Gaming,787716.23,162
169,Team Queso,781385.99,71
170,Chicago Huntsmen,773750.00,8
171,GODSENT,771471.43,113
172,Windigo Gaming,765794.20,110
