Team Name,Region,Game
4 Zoomers,North America,Dota 2
5ManMidas,North America,Dota 2
Arkosh Gaming,North America,Dota 2
Black N Yellow,North America,Dota 2
Electronic Boys,North America,Dota 2
Evil Geniuses,North America,Dota 2
felt,North America,Dota 2
Quincy Crew,North America,Dota 2
simply TOOBASED,North America,Dota 2
Team DogChamp,North America,Dota 2
TEAM TEAM,North America,Dota 2
The Cut,North America,Dota 2
TSM,North America,Dota 2
Wildcard Gaming,North America,Dota 2
business associates,North America,Dota 2
Chaos Esports Club,North America,Dota 2
Cloud9,North America,Dota 2
Complexity Gaming,North America,Dota 2
CR4ZY,North America,Dota 2
D2 Hustlers,North America,Dota 2
Demon Slayers,North America,Dota 2
Fighting PandaS,North America,Dota 2
Flying Penguins,North America,Dota 2
Forward Gaming,North America,Dota 2
Immortals,North America,Dota 2
J.Storm,North America,Dota 2
OpTic Gaming,North America,Dota 2
Planet Odd,North America,Dota 2
S A D B O Y S,North America,Dota 2
Summer's Rift,North America,Dota 2
Team Archon,North America,Dota 2
Team Dignitas,North America,Dota 2
Team Leviathan,North America,Dota 2
Team NP,North America,Dota 2
Team Tinker,North America,Dota 2
Team Undying,North America,Dota 2
Thunderbirds,North America,Dota 2
VGJ.Storm,North America,Dota 2
Wheel Whreck,North America,Dota 2
Balrogs,SA,Dota 2
beastcoast,SA,Dota 2
Gorillaz-Pride,SA,Dota 2
Hokori,SA,Dota 2
Infamous,SA,Dota 2
Infinity,SA,Dota 2
Interitus,SA,Dota 2
Inverse,SA,Dota 2
APU King of Kings,SA,Dota 2
Lava,SA,Dota 2
Mad Kings,SA,Dota 2
NoPing e-sports,SA,Dota 2
Omega Gaming,SA,Dota 2
SG esports,SA,Dota 2
Thunder Awaken,SA,Dota 2
Unknown Team,SA,Dota 2
Vicious Gaming,SA,Dota 2
Wolf Team,SA,Dota 2
Crewmates,SA,Dota 2
Demolition Boys,SA,Dota 2
EgoBoys,SA,Dota 2
Elite Wolves,SA,Dota 2
FURIA Esports,SA,Dota 2
incubus club,SA,Dota 2
INTZ eSports,SA,Dota 2
Isurus Gaming,SA,Dota 2
Keyd Stars,SA,Dota 2
Kingao+4,SA,Dota 2
Latam Defenders,SA,Dota 2
Majestic esports,SA,Dota 2
Midas Club,SA,Dota 2
Not Today,SA,Dota 2
paiN Gaming,SA,Dota 2
paiN X,SA,Dota 2
Playmakers Esports,SA,Dota 2
Sacred,SA,Dota 2
Sector V,SA,Dota 2
T Show.Rising,SA,Dota 2
Team Anvorgesa,SA,Dota 2
Team Brasil,SA,Dota 2
Team DileCom,SA,Dota 2
Union Gaming BO,SA,Dota 2
VINCE TE IPSUM,SA,Dota 2
Alliance,EU,Dota 2
Brame,EU,Dota 2
Chicken Fighters,EU,Dota 2
Entity,EU,Dota 2
Ghost Frogs,EU,Dota 2
Gladiators,EU,Dota 2
Into The Breach,EU,Dota 2
Nigma Galaxy,EU,Dota 2
No Bounty Hunter,EU,Dota 2
OG,EU,Dota 2
Team Bald Reborn,EU,Dota 2
Team Liquid,EU,Dota 2
Team Secret,EU,Dota 2
Tundra Esports,EU,Dota 2
(monkey) Business,EU,Dota 2
4 Anchors + SC,EU,Dota 2
4 Clover & Lepricon,EU,Dota 2
Ad Finem,EU,Dota 2
Creepwave,EU,Dota 2
Elements Pro,EU,Dota 2
Escape Gaming,EU,Dota 2
Hellbear Smashers,EU,Dota 2
High Coast Esports,EU,Dota 2
Kaipi,EU,Dota 2
London Conspiracy,EU,Dota 2
Meet Your Makers,EU,Dota 2
mousesports,EU,Dota 2
mudgolems,EU,Dota 2
Ninjas in Pyjamas,EU,Dota 2
OG Seed,EU,Dota 2
PENTA Sports,EU,Dota 2
Prodota Gaming,EU,Dota 2
Sigma.int,EU,Dota 2
Speed Gaming.int,EU,Dota 2
Team Kinguin,EU,Dota 2
Team Tickles,EU,Dota 2
The Final Tribe,EU,Dota 2
The Imperial,EU,Dota 2
Vikin.gg,EU,Dota 2
AS Monaco Gambit,CIS,Dota 2
B8,CIS,Dota 2
CIS Rejects,CIS,Dota 2
Fantastic Five,CIS,Dota 2
Gambit Esports,CIS,Dota 2
HellRaisers,CIS,Dota 2
HYDRA,CIS,Dota 2
Natus Vincere,CIS,Dota 2
Nemiga Gaming,CIS,Dota 2
PuckChamp,CIS,Dota 2
Team Empire,CIS,Dota 2
Team Spirit,CIS,Dota 2
V-Gaming,CIS,Dota 2
Virtus.pro,CIS,Dota 2
VP.Prodigy,CIS,Dota 2
Winstrike Team,CIS,Dota 2
ASUS Polar,CIS,Dota 2
Cascade,CIS,Dota 2
Cyber Legacy,CIS,Dota 2
Effect,CIS,Dota 2
EXTREMUM,CIS,Dota 2
F.R.I.E.N.D.S.,CIS,Dota 2
FlyToMoon,CIS,Dota 2
forZe,CIS,Dota 2
jfshfh178,CIS,Dota 2
Khan,CIS,Dota 2
Live to Win,CIS,Dota 2
Moscow Five,CIS,Dota 2
NoLifer5.Reborn,CIS,Dota 2
NoTechies,CIS,Dota 2
Old but Gold,CIS,Dota 2
Pavaga Gaming,CIS,Dota 2
Power Rangers,CIS,Dota 2
Rebels,CIS,Dota 2
RoX,CIS,Dota 2
Team Empire Hope,CIS,Dota 2
Team Unique,CIS,Dota 2
The Pango,CIS,Dota 2
TPB,CIS,Dota 2
Vega Squadron,CIS,Dota 2
Yellow Submarine,CIS,Dota 2
Aster.Aries,China,Dota 2
CDEC Gaming,China,Dota 2
EHOME,China,Dota 2
iG Vitality,China,Dota 2
Invictus Gaming,China,Dota 2
LBZS,China,Dota 2
Phoenix Gaming,China,Dota 2
Paris Saint-Germain Esports,China,Dota 2
